year,region,units_millions,bev_market_share_pct
2019,Europe,1.2,4.0
2019,North America,0.9,4.0
2019,China,3.0,4.0
2019,Rest of World,0.4,4.0
2020,Europe,1.84,7.1
2020,North America,1.39,6.9
2020,China,4.44,8.3
2020,Rest of World,0.55,8.1
2021,Europe,2.23,9.3
2021,North America,1.78,10.4
2021,China,5.58,12.2
2021,Rest of World,0.81,11.7
2022,Europe,3.06,15.1
2022,North America,2.09,17.2
2022,China,7.58,13.4
2022,Rest of World,0.99,17.0
2023,Europe,3.32,16.1
2023,North America,2.3,14.5
2023,China,8.46,18.9
2023,Rest of World,1.14,14.4
2024,Europe,3.79,23.0
2024,North America,3.03,23.3
2024,China,10.15,18.5
2024,Rest of World,1.21,21.0
