food,kcal_per_100g,protein_g,carbs_g,fat_g,iron_mg,calcium_mg,vitamin_b12_ug,folate_ug
Oats,389,16.9,66.3,6.9,4.7,54,0.0,56
Salmon,208,20.4,0.0,13.4,0.8,12,3.2,26
Lentils,116,9.0,20.1,0.4,3.3,19,0.0,181
Broccoli,34,2.8,6.6,0.4,0.7,47,0.0,63
Brown rice,111,2.6,23.0,0.9,0.4,10,0.0,4
Chickpeas,164,8.9,27.4,2.6,2.9,49,0.0,172
Spinach,23,2.9,3.6,0.4,2.7,99,0.0,194
Olive oil,884,0.0,0.0,100.0,0.0,1,0.0,0
Greek yogurt,59,10.0,3.6,0.4,0.0,110,0.5,7
Almonds,579,21.2,21.6,49.9,3.7,269,0.0,44
Egg,155,13.0,1.1,11.0,1.8,56,1.1,44
Sweet potato,86,1.6,20.1,0.1,0.6,30,0.0,11
