customer_id,age,city,plan,tenure_months,monthly_charge_usd,churned
C0001,57,Fairview,standard,74,19.99,no
C0002,28,Lakeside,basic,47,9.99,no
C0003,37,Hillcrest,premium,27,39.99,no
C0004,73,Lakeside,basic,82,9.99,no
C0005,22,Fairview,standard,45,19.99,no
C0006,43,Lakeside,standard,46,19.99,no
C0007,47,Rivertown,premium,41,39.99,no
C0008,76,Fairview,basic,34,9.99,no
C0009,53,Springfield,standard,80,19.99,no
C0010,67,Springfield,basic,84,9.99,no
C0011,21,Springfield,standard,26,19.99,yes
C0012,30,Hillcrest,standard,73,19.99,no
C0013,68,Fairview,basic,74,9.99,no
C0014,53,Springfield,standard,72,19.99,no
C0015,37,Rivertown,standard,24,19.99,no
C0016,51,Rivertown,standard,7,19.99,no
C0017,63,Fairview,basic,4,9.99,no
C0018,49,Fairview,standard,94,19.99,no
C0019,65,Fairview,standard,83,19.99,no
C0020,22,Rivertown,premium,22,39.99,no
C0021,23,Rivertown,basic,70,9.99,no
C0022,74,Springfield,standard,55,19.99,no
C0023,63,Springfield,basic,95,9.99,no
C0024,21,Hillcrest,basic,9,9.99,yes
C0025,60,Fairview,basic,28,9.99,yes
C0026,48,Hillcrest,standard,71,19.99,no
C0027,32,Lakeside,basic,25,9.99,no
C0028,79,Fairview,premium,21,39.99,no
C0029,57,Lakeside,basic,70,9.99,no
C0030,59,Hillcrest,basic,70,9.99,no
C0031,43,Lakeside,basic,40,9.99,no
C0032,55,Hillcrest,premium,49,39.99,no
C0033,70,Lakeside,standard,31,19.99,no
C0034,63,Springfield,basic,1,9.99,no
C0035,71,Lakeside,basic,77,9.99,no
C0036,26,Springfield,premium,65,39.99,no
C0037,30,Hillcrest,basic,32,9.99,no
C0038,49,Rivertown,basic,43,9.99,no
C0039,55,Springfield,standard,87,19.99,no
C0040,50,Fairview,standard,6,19.99,no
C0041,49,Lakeside,basic,19,9.99,no
C0042,23,Fairview,basic,59,9.99,no
C0043,19,Rivertown,standard,21,19.99,no
C0044,32,Springfield,standard,57,19.99,no
C0045,69,Hillcrest,standard,41,19.99,yes
C0046,45,Lakeside,standard,14,19.99,no
C0047,23,Springfield,premium,81,39.99,no
C0048,30,Rivertown,standard,14,19.99,yes
C0049,53,Hillcrest,standard,32,19.99,no
C0050,75,Springfield,basic,88,9.99,no
C0051,39,Fairview,basic,96,9.99,yes
C0052,22,Springfield,premium,85,39.99,no
C0053,35,Fairview,basic,1,9.99,no
C0054,61,Rivertown,basic,71,9.99,no
C0055,72,Hillcrest,premium,67,39.99,no
C0056,36,Rivertown,standard,1,19.99,no
C0057,44,Lakeside,basic,5,9.99,no
C0058,38,Springfield,standard,8,19.99,yes
C0059,68,Springfield,premium,48,39.99,no
C0060,57,Hillcrest,basic,23,9.99,yes
C0061,79,Rivertown,basic,55,9.99,yes
C0062,79,Fairview,standard,21,19.99,no
C0063,74,Fairview,premium,29,39.99,no
C0064,45,Springfield,basic,67,9.99,no
C0065,37,Springfield,standard,82,19.99,no
C0066,21,Hillcrest,basic,42,9.99,yes
C0067,41,Fairview,standard,90,19.99,no
C0068,75,Fairview,basic,8,9.99,no
C0069,51,Hillcrest,premium,52,39.99,yes
C0070,59,Springfield,standard,56,19.99,no
C0071,23,Lakeside,standard,79,19.99,no
C0072,50,Rivertown,basic,75,9.99,no
C0073,67,Lakeside,standard,5,19.99,no
C0074,24,Rivertown,premium,53,39.99,no
C0075,30,Lakeside,basic,44,9.99,yes
C0076,57,Rivertown,basic,77,9.99,no
C0077,35,Fairview,premium,87,39.99,no
C0078,48,Lakeside,basic,14,9.99,no
C0079,74,Rivertown,standard,21,19.99,no
C0080,60,Springfield,basic,46,9.99,yes
C0081,30,Springfield,standard,55,19.99,no
C0082,54,Hillcrest,standard,52,19.99,yes
C0083,69,Rivertown,standard,47,19.99,no
C0084,78,Fairview,premium,8,39.99,no
C0085,33,Springfield,basic,41,9.99,yes
C0086,74,Lakeside,premium,33,39.99,no
C0087,39,Springfield,standard,70,19.99,no
C0088,35,Fairview,basic,42,9.99,no
C0089,21,Rivertown,basic,64,9.99,no
C0090,54,Lakeside,basic,49,9.99,no
C0091,60,Springfield,basic,75,9.99,yes
C0092,62,Fairview,basic,40,9.99,yes
C0093,51,Hillcrest,standard,80,19.99,no
C0094,46,Fairview,basic,49,9.99,no
C0095,29,Springfield,basic,17,9.99,yes
C0096,54,Lakeside,standard,33,19.99,yes
C0097,57,Rivertown,basic,87,9.99,no
C0098,50,Springfield,standard,65,19.99,no
C0099,77,Lakeside,standard,71,19.99,yes
C0100,77,Lakeside,basic,93,9.99,no
C0101,50,Hillcrest,standard,14,19.99,yes
C0102,54,Rivertown,standard,30,19.99,no
C0103,63,Springfield,standard,8,19.99,no
C0104,20,Fairview,premium,79,39.99,yes
C0105,62,Lakeside,standard,79,19.99,no
C0106,33,Lakeside,standard,39,19.99,no
C0107,76,Lakeside,premium,51,39.99,no
C0108,39,Rivertown,basic,79,9.99,no
C0109,43,Springfield,basic,52,9.99,yes
C0110,66,Springfield,basic,91,9.99,no
C0111,29,Hillcrest,basic,77,9.99,no
C0112,34,Hillcrest,basic,1,9.99,no
C0113,34,Lakeside,basic,82,9.99,yes
C0114,32,Fairview,basic,15,9.99,no
C0115,67,Springfield,standard,65,19.99,no
C0116,55,Hillcrest,basic,57,9.99,yes
C0117,61,Springfield,premium,94,39.99,no
C0118,47,Hillcrest,standard,75,19.99,yes
C0119,33,Hillcrest,standard,70,19.99,no
C0120,72,Lakeside,basic,21,9.99,no
C0121,52,Lakeside,premium,70,39.99,no
C0122,53,Fairview,basic,5,9.99,yes
C0123,61,Springfield,premium,79,39.99,no
C0124,24,Fairview,premium,30,39.99,no
C0125,28,Hillcrest,premium,43,39.99,yes
C0126,37,Springfield,standard,72,19.99,no
C0127,31,Rivertown,basic,56,9.99,no
C0128,44,Springfield,premium,5,39.99,no
C0129,26,Rivertown,standard,2,19.99,no
C0130,75,Hillcrest,standard,7,19.99,no
C0131,51,Lakeside,premium,17,39.99,no
C0132,52,Fairview,premium,35,39.99,no
C0133,71,Hillcrest,basic,14,9.99,no
C0134,25,Springfield,basic,26,9.99,no
C0135,63,Lakeside,standard,11,19.99,no
C0136,26,Rivertown,basic,22,9.99,yes
C0137,26,Lakeside,standard,35,19.99,no
C0138,28,Lakeside,premium,53,39.99,no
C0139,19,Hillcrest,standard,25,19.99,no
C0140,35,Hillcrest,basic,34,9.99,no
C0141,62,Hillcrest,basic,72,9.99,no
C0142,51,Lakeside,premium,24,39.99,no
C0143,51,Lakeside,premium,64,39.99,no
C0144,71,Hillcrest,basic,96,9.99,yes
C0145,61,Fairview,basic,37,9.99,no
C0146,21,Fairview,standard,63,19.99,no
C0147,35,Fairview,standard,40,19.99,no
C0148,67,Rivertown,premium,35,39.99,no
C0149,53,Rivertown,premium,43,39.99,no
C0150,72,Lakeside,standard,2,19.99,no
