mission_id,address,lat,lon,time_window,priority,cargo_kg
M-001,642 Elm Ct,40.72129,-73.93043,12:00-14:00,standard,330
M-002,818 Elm Ct,40.82652,-74.05771,10:00-12:00,express,191
M-003,121 Willow Way,40.79613,-74.03038,08:00-10:00,express,362
M-004,694 Elm Ct,40.8165,-74.02899,12:00-14:00,express,14
M-005,862 Elm Ct,40.72834,-74.01172,10:00-12:00,standard,352
M-006,717 Ash Dr,40.73102,-73.9088,08:00-10:00,express,274
M-007,643 Maple Ave,40.57167,-73.86125,08:00-10:00,express,13
M-008,660 Cedar Ln,40.60911,-74.06452,14:00-17:00,express,296
M-009,331 Maple Ave,40.78862,-73.96676,14:00-17:00,express,122
M-010,572 Maple Ave,40.7828,-73.98338,12:00-14:00,standard,318
M-011,195 Pine Rd,40.7826,-74.13487,14:00-17:00,express,303
M-012,476 Maple Ave,40.7915,-74.00372,12:00-14:00,express,290
